id,timestamp,packet_id,pressure,accel_x,accel_y,accel_z
26_2,2025-07-19 01:05:30.536539,26,-30.8,-0.1706,-0.02,1.1091
26_3,2025-07-19 01:05:30.636539,26,-424.0,-0.2404,0.0646,1.018
32_1,2025-07-19 01:05:31.032450,32,-424.0,-0.2421,0.0988,1.0466
32_2,2025-07-19 01:05:31.132450,32,-292.9,-0.1652,0.0373,1.0681
32_3,2025-07-19 01:05:31.232450,32,-424.0,-0.0769,0.0378,1.0727
35_1,2025-07-19 01:05:31.335558,35,-292.9,-0.0622,0.0249,1.0729
35_2,2025-07-19 01:05:31.435558,35,-292.9,-0.0385,0.0249,1.0839
35_3,2025-07-19 01:05:31.535558,35,-292.9,-0.0241,0.0334,1.0952
38_1,2025-07-19 01:05:31.637593,38,-292.9,0.008,0.0429,1.0549
38_2,2025-07-19 01:05:31.737593,38,-424.0,-0.0053,0.0549,1.069
38_3,2025-07-19 01:05:31.837593,38,-555.1,0.0163,0.0549,1.0727
41_1,2025-07-19 01:05:31.930143,41,-292.9,0.0432,0.082,1.0759
41_2,2025-07-19 01:05:32.030143,41,-555.1,0.0537,0.0937,1.0808
41_3,2025-07-19 01:05:32.130143,41,-555.1,0.0417,0.0751,1.0747
44_1,2025-07-19 01:05:32.231617,44,-292.9,0.0568,0.0886,1.0654
44_2,2025-07-19 01:05:32.331617,44,-424.0,0.1005,0.1088,1.0747
44_3,2025-07-19 01:05:32.431617,44,-424.0,0.0285,0.143,1.0988
47_1,2025-07-19 01:05:32.534486,47,-292.9,0.031,0.1494,1.0502
47_2,2025-07-19 01:05:32.634486,47,-555.1,0.0373,0.1494,1.0449
47_3,2025-07-19 01:05:32.734486,47,-686.1,0.0239,0.1584,1.0795
50_1,2025-07-19 01:05:32.835583,50,-817.2,0.0788,0.1474,1.0939
50_2,2025-07-19 01:05:32.935583,50,-686.1,0.0417,0.1335,1.0874
50_3,2025-07-19 01:05:33.035583,50,-424.0,0.0439,0.1242,1.0854
53_1,2025-07-19 01:05:33.133353,53,-424.0,0.0053,0.1311,1.0766
53_2,2025-07-19 01:05:33.233353,53,-686.1,-0.007,0.1462,1.0791
53_3,2025-07-19 01:05:33.333353,53,-686.1,-0.1079,0.1508,1.052
56_1,2025-07-19 01:05:33.439553,56,-424.0,-0.2773,0.1372,1.0224
56_2,2025-07-19 01:05:33.539553,56,-686.1,-0.2656,0.1235,1.0446
56_3,2025-07-19 01:05:33.639553,56,-424.0,-0.2419,0.1186,1.0585
